question_id,question,question_type,difficulty,answer,faithfulness,answer_relevancy,context_precision,context_recall
q001,Which team won the UEFA Champions League in 2022?,factual,easy,Real Madrid won the UEFA Champions League in 2022.,1.0,0.9448719798955955,0.49999999995,0.0
q002,When was the Premier League founded?,factual,easy,The Premier League was founded in 1992.,1.0,1.0,0.9999999999,1.0
q003,Who is the all-time top scorer in the UEFA Champions League?,factual,easy,"The all-time top scorer in the UEFA Champions League is Cristiano Ronaldo, with over 140 goals scored for Manchester United, Real Madrid, and Juventus.",1.0,1.0000000000000002,0.9999999999,1.0
q004,Which country has won the FIFA World Cup the most times?,factual,easy,"Brazil has won the FIFA World Cup the most times, with a total of five victories in 1958, 1962, 1970, 1994, and 2002.",0.8571428571428571,1.0,0.49999999995,1.0
q005,What was Manchester United's historic Champions League final comeback in 1999?,factual,medium,"Manchester United's historic Champions League final comeback in 1999 occurred against Bayern Munich. They were losing 1-0 in injury time when Teddy Sheringham and Ole Gunnar Solskjaer scored two goals in the 90th and 93rd minutes, completing a stunning comeback. This victory made Manchester United the last English club to win the treble.",1.0,0.9240727444966197,0.9999999999,1.0
q006,How many Ballon d'Or awards did Lionel Messi win from 2009 to 2012?,factual,easy,리오넬 메시(Lionel Messi)는 2009년부터 2012년까지 4년 연속으로 Ballon d'Or(발롱도르) 상을 수상했습니다.,1.0,0.8326590581212379,0.9999999999,1.0
q007,Which stadium is known as the Theatre of Dreams?,factual,easy,"The stadium known as the ""Theatre of Dreams"" is Old Trafford, the home ground of Manchester United.",1.0,0.950650011204405,0.9999999999,1.0
q008,What was Arsenal's historic achievement in the 2003-04 Premier League season?,factual,medium,"Arsenal's historic achievement in the 2003-04 Premier League season was going the entire 38-game season unbeaten. They won 26 games and drew 12, a feat that remains one of the greatest achievements in Premier League history. This team, managed by Arsène Wenger, is famously known as the ""Invincibles.""",1.0,0.9999999999999999,0.9999999999,1.0
q009,What is the relationship between Pep Guardiola and Lionel Messi?,relational,medium,"페프 과르디올라와 리오넬 메시의 관계는 감독과 선수로서의 관계입니다. 과르디올라는 바르셀로나 감독 시절 메시를 지도하며, 그 시기에 메시가 2009년부터 2012년까지 4년 연속 발롱도르를 수상하는 등 최고의 전성기를 보냈습니다. 과르디올라가 이끈 바르셀로나 팀은 전술적으로 뛰어난 팀워크를 자랑했으며, 메시를 포함한 선수들이 세계 축구 역사에 큰 족적을 남겼습니다.",1.0,0.9816482832709249,0.3333333333,0.5
q010,What is the connection between Zinedine Zidane and Real Madrid?,relational,medium,"지네딘 지단(Zinedine Zidane)과 레알 마드리드(Real Madrid)의 연결고리는 선수 시절과 감독 시절 모두에서 매우 깊습니다. 

선수로서 지단은 2001년에 유벤투스에서 레알 마드리드로 이적했으며, 당시 역대 최고 이적료인 4,720만 파운드가 지불되었습니다. 그는 2002년 UEFA 챔피언스리그 결승에서 바이어 레버쿠젠을 상대로 왼발로 완벽한 발리 슛 골을 기록하며 팀의 2-1 승리를 이끌었고, 이로써 챔피언스리그 우승을 차지했습니다. 이 시기는 레알 마드리드의 '갈락티코스' 시대였으며, 지단은 호나우두, 데이비드 베컴, 루이스 피구, 로베르토 카를로스 등과 함께 뛰었습니다.

은퇴 후에는 2016년 1월에 레알 마드리드 1군 감독으로 부임하여 탁월한 전술 능력을 발휘, 2016년부터 2018년까지 3년 연속 챔피언스리그 우승이라는 전무후무한 기록을 세웠습니다. 이 기간 동안 루카 모드리치, 토니 크로스, 카세미루로 구성된 중원 삼각편대가 그의 지휘 아래 최고의 활약을 펼쳤습니다.

요약하면, 지단은 레알 마드리드의 전설적인 선수이자 감독으로서 클럽 역사에 큰 족적을 남긴 인물입니다.",1.0,1.0,0.0,0.0
q011,How is Sir Alex Ferguson connected to Cristiano Ronaldo's development?,relational,medium,"Sir Alex Ferguson는 2003년 18세의 크리스티아누 호날두를 맨체스터 유나이티드로 £12.24 million에 영입한 감독입니다. 그는 호날두가 세계적인 선수로 성장할 잠재력을 즉시 알아보고, 올드 트래포드에서 호날두가 뛰어난 윙어에서 완성된 공격수로 변모하도록 지도했습니다. 또한, 퍼거슨의 지도 아래 호날두는 프리미어리그 3연패와 2008년 UEFA 챔피언스리그 우승을 달성했으며, 그 해 발롱도르를 수상하는 등 그의 경력에 중요한 발전을 이루었습니다.",0.8571428571428571,0.617218040936502,0.9999999999,1.0
q012,What is the relationship between Johan Cruyff and Pep Guardiola?,relational,hard,"요한 크루이프는 펩 과르디올라의 가장 영향력 있는 멘토입니다. 과르디올라는 선수 시절 FC 바르셀로나에서 크루이프 감독 아래에서 뛰었으며, 크루이프의 ""토털 풋볼"" 철학이 과르디올라의 축구 접근 방식에 깊은 영향을 미쳤습니다.",1.0,0.6248766642695373,0.9999999999,0.6666666666666666
q013,How are Thierry Henry and Arsenal connected?,relational,easy,"Thierry Henry와 Arsenal은 깊은 연관이 있습니다. Henry는 Arsenal에서 뛰면서 2003-04 시즌 ""Invincibles"" 팀의 핵심 선수로 활약했으며, 그 시즌에 Arsenal은 38경기 무패(26승 12무)를 기록하는 대기록을 세웠습니다. 그는 그 시즌 프리미어리그에서 30골을 넣으며 팀의 공격을 이끌었고, Patrick Vieira와 Robert Pires와 함께 팀의 성공에 크게 기여했습니다. Arsenal은 Henry가 활약한 클럽 중 하나이며, 그의 경력에서 중요한 부분을 차지합니다.",1.0,0.9592075355764477,0.49999999995,0.0
q014,What connects Roberto Carlos and the 2002 FIFA World Cup?,relational,medium,"Roberto Carlos는 2002년 FIFA 월드컵에서 브라질 국가대표팀의 일원으로 활약하며 우승을 차지한 선수입니다. 즉, 그는 2002년 FIFA 월드컵 우승 멤버 중 한 명입니다.",1.0,0.855340541982545,0.9999999999,0.0
q015,Which players were teammates of both Messi and Ronaldo at any point in their careers?,multi_hop,hard,"제공된 컨텍스트에 따르면, 메시와 호날두는 서로 오랜 라이벌 관계였으며, 메시가 바르셀로나에 있을 때 호날두는 레알 마드리드에 있었습니다. 또한, ""어떤 선수도 메시와 호날두 두 사람과 동시에 같은 클럽에서 뛴 적은 없다""고 명시되어 있습니다. 따라서 메시와 호날두 두 선수 모두와 팀 동료였던 선수는 없다고 할 수 있습니다.",0.75,0.8717050430337739,0.9999999999,0.5
