question_id,question,question_type,difficulty,answer,faithfulness,answer_relevancy,context_precision,context_recall
q001,Which team won the UEFA Champions League in 2022?,factual,easy,Real Madrid won the UEFA Champions League in 2022.,1.0,0.9448719798955955,0.49999999995,0.0
q002,When was the Premier League founded?,factual,easy,The Premier League was founded in 1992.,1.0,1.0,0.9999999999,1.0
q003,Who is the all-time top scorer in the UEFA Champions League?,factual,easy,"The all-time top scorer in the UEFA Champions League is Cristiano Ronaldo, with over 140 goals scored for Manchester United, Real Madrid, and Juventus.",1.0,1.0000000000000002,0.9999999999,1.0
q004,Which country has won the FIFA World Cup the most times?,factual,easy,"According to the provided context, Brazil is the most successful nation in FIFA World Cup history, having won the tournament five times.",1.0,0.7885526700488769,0.6388888888675925,1.0
q005,What was Manchester United's historic Champions League final comeback in 1999?,factual,medium,"Manchester United's historic Champions League final comeback in 1999 occurred against Bayern Munich. They were losing 1-0 in injury time when Teddy Sheringham and Ole Gunnar Solskjaer scored two goals in the 90th and 93rd minutes, completing a stunning comeback. This victory made Manchester United the last English club to win the treble.",1.0,0.9240995773508172,0.4166666666458333,1.0
q006,How many Ballon d'Or awards did Lionel Messi win from 2009 to 2012?,factual,easy,Lionel Messi는 2009년부터 2012년까지 4년 연속으로 Ballon d'Or를 수상했습니다.,1.0,0.8326590581212379,0.9999999999,1.0
q007,Which stadium is known as the Theatre of Dreams?,factual,easy,"""Theatre of Dreams""로 알려진 경기장은 맨체스터 유나이티드(Manchester United)의 홈구장인 올드 트래포드(Old Trafford)입니다.",1.0,0.9460592575466306,0.9999999999,1.0
q008,What was Arsenal's historic achievement in the 2003-04 Premier League season?,factual,medium,"아스널은 2003-04 프리미어리그 시즌에서 ""무패 우승(Invincibles)""이라는 역사적인 업적을 달성했습니다. 아르센 벵거 감독 아래 38경기 전 경기를 무패(26승 12무)로 마쳤으며, 이는 프리미어리그 역사상 가장 위대한 성과 중 하나로 평가받고 있습니다.",1.0,0.9585447633937214,0.9999999999,1.0
q009,What is the relationship between Pep Guardiola and Lionel Messi?,relational,medium,"페프 과르디올라와 리오넬 메시의 관계는 감독과 선수로서 매우 중요한 협력 관계였습니다. 과르디올라는 FC 바르셀로나 감독 시절 메시를 ""가짜 9번"" 포지션에 배치하는 전술적 혁신을 도입했으며, 이를 통해 메시가 단순한 골잡이 역할을 넘어서 공격을 조율하는 핵심 역할을 수행하도록 했습니다. 이 전술은 메시, 사무엘 에투, 티에리 앙리의 끊임없는 움직임과 압박과 함께 상대 수비가 거의 막기 어려운 강력한 공격 시스템을 만들었습니다. 이 시기에 메시가 2009년부터 2012년까지 4년 연속 발롱도르를 수상하고, 2011-12 시즌에는 91골이라는 세계 기록을 세우는 등 최고의 활약을 펼쳤습니다. 따라서 과르디올라는 메시의 전성기를 이끈 가장 영향력 있는 감독 중 한 명으로 평가받습니다.",1.0,0.9724724249063874,0.32499999998375,0.0
q010,What is the connection between Zinedine Zidane and Real Madrid?,relational,medium,"지네딘 지단(Zinedine Zidane)과 레알 마드리드(Real Madrid)의 연결고리는 매우 깊습니다. 선수 시절인 2001년에 유벤투스에서 레알 마드리드로 이적했으며, 당시 이적료 4,720만 파운드로 역대 최고 이적료 기록을 세웠습니다. 레알 마드리드에서 그는 2002년 UEFA 챔피언스리그 결승전에서 바이어 레버쿠젠을 상대로 왼발로 환상적인 발리 골을 넣어 팀의 우승에 크게 기여했습니다.

은퇴 후에는 레알 마드리드의 코칭 스태프에 합류했고, 2016년 1월부터 1군 감독을 맡아 즉시 전술적 역량을 입증했습니다. 지단 감독 하에 레알 마드리드는 2016, 2017, 2018년 세 시즌 연속 UEFA 챔피언스리그 우승을 차지하는 전무후무한 기록을 세웠습니다. 이 시기 크리스티아누 호날두, 루카 모드리치, 토니 크로스, 카세미루 등이 핵심 선수로 활약했습니다.

요약하면, 지단은 레알 마드리드에서 선수로서 최고의 순간을 경험했고, 감독으로서도 팀을 유럽 최정상에 올려놓으며 클럽 역사에 큰 족적을 남겼습니다.",0.8571428571428571,1.0,0.0,1.0
q011,How is Sir Alex Ferguson connected to Cristiano Ronaldo's development?,relational,medium,"Sir Alex Ferguson는 2003년에 18세의 크리스티아누 호날두를 Sporting CP에서 맨체스터 유나이티드로 £12.24 million에 영입했습니다. Ferguson 감독은 호날두의 잠재력을 즉시 알아보고, 그의 지도 아래 호날두는 트릭이 뛰어난 윙어에서 완성된 공격수로 성장했습니다. Ferguson의 지도 하에 호날두는 프리미어리그에서 세 번 연속 우승을 차지했고, 2008년 UEFA 챔피언스리그 결승에서 맨유가 첼시를 상대로 승리할 때 개막골을 넣었으며, 같은 해 첫 발롱도르를 수상했습니다. 따라서 Sir Alex Ferguson은 호날두의 세계적인 축구 선수로서의 발전에 결정적인 역할을 한 인물입니다.",1.0,0.914751593793992,0.8333333332916666,1.0
q012,What is the relationship between Johan Cruyff and Pep Guardiola?,relational,hard,"Johan Cruyff was Pep Guardiola's most influential mentor. Guardiola played under Cruyff at FC Barcelona, where Cruyff's ""Total Football"" philosophy profoundly shaped Guardiola's own approach to the game.",1.0,0.6248766642695373,0.3333333333,0.6666666666666666
q013,How are Thierry Henry and Arsenal connected?,relational,easy,"Thierry Henry와 Arsenal의 연결고리는 매우 깊습니다. Henry는 Arsenal에서 뛰면서 2003-04 시즌 ""Invincibles"" 팀의 핵심 선수로 활약했으며, 이 시즌에 Arsenal은 38경기 무패(26승 12무)를 기록하는 위대한 업적을 달성했습니다. 그는 이 시즌에 30골을 넣으며 팀의 공격을 이끌었고, Patrick Vieira와 Robert Pires와 함께 팀의 성공에 크게 기여했습니다. 또한 Henry는 Arsenal에서 뛰는 동안 프리미어리그 우승(2002, 2004)을 경험했고, Arsenal은 프리미어리그와 FA컵에서 다수의 우승을 차지한 명문 클럽입니다. Henry는 Arsenal에서의 활약을 바탕으로 이후 Barcelona로 이적해 UEFA 챔피언스리그 우승(2009)도 경험했습니다.",1.0,0.9604796196976607,0.49999999995,0.0
q014,What connects Roberto Carlos and the 2002 FIFA World Cup?,relational,medium,"Roberto Carlos는 2002년 FIFA 월드컵에서 브라질 국가대표팀의 일원으로 활약했으며, 이 대회에서 우승을 차지한 주요 선수 중 한 명입니다.",0.3333333333333333,0.7731417628322634,0.9999999999,1.0
